id,town_ksh_code,province_name,town_name,town_type1,town_type2,town_type3,district_ksh_code,town_population,street_name,house_number,target,address,lon,lat
960,10214,1,Budapest 22. kerület,1,1,1,999,53704,őszapó utca,6,1,"őszapó utca 6, Budapest 22. kerület",19.009049990684275,47.425049984559905
961,10214,1,Budapest 22. kerület,1,1,1,999,53704,pécsi utca,9,1,"pécsi utca 9, Budapest 22. kerület",19.03938996560842,47.43111001673671
963,10214,1,Budapest 22. kerület,1,1,1,999,53704,tóth józsef utca,14,0,"tóth józsef utca 14, Budapest 22. kerület",19.039240013360626,47.42182999263602
965,10214,1,Budapest 22. kerület,1,1,1,999,53704,zsineg utca,42,0,"zsineg utca 42, Budapest 22. kerület",19.013029969769065,47.42235998037381
966,34139,1,Budapest 23. kerület,1,1,1,999,21155,délitemető utca,25,1,"délitemető utca 25, Budapest 23. kerület",19.1123199831286,47.392920012303136
967,34139,1,Budapest 23. kerület,1,1,1,999,21155,horgász part,3,0,"horgász part 3, Budapest 23. kerület",19.109329990627856,47.39118998748771
968,34139,1,Budapest 23. kerület,1,1,1,999,21155,könyves utca,28,1,"könyves utca 28, Budapest 23. kerület",19.11800900080431,47.41406156571326
969,34139,1,Budapest 23. kerület,1,1,1,999,21155,szikes utca,12,1,"szikes utca 12, Budapest 23. kerület",19.118220004773804,47.398470005671726
970,34139,1,Budapest 23. kerület,1,1,1,999,21155,szilágyi dezső utca,76,0,"szilágyi dezső utca 76, Budapest 23. kerület",19.129259977084246,47.42033998361805
971,34139,1,Budapest 23. kerület,1,1,1,999,21155,táncsics mihály utca,63,0,"táncsics mihály utca 63, Budapest 23. kerület",19.112219987023735,47.402000002284524
972,34139,1,Budapest 23. kerület,1,1,1,999,21155,tartsay utca,10,0,"tartsay utca 10, Budapest 23. kerület",19.122069980540346,47.41818000907924
973,14234,12,Buják,4,3,6,118,2202,alkotmány utca,5,2,"alkotmány utca 5, Buják",19.553589969665552,47.878040009121435
974,14234,12,Buják,4,3,6,118,2202,alkotmány utca,11,2,"alkotmány utca 11, Buják",19.554030019582257,47.87769999721911
975,14234,12,Buják,4,3,6,118,2202,alkotmány utca,30,1,"alkotmány utca 30, Buják",19.555600033866057,47.87696000089727
977,14234,12,Buják,4,3,6,118,2202,arany jános utca,16,1,"arany jános utca 16, Buják",19.551909984812085,47.879450012873605
978,14234,12,Buják,4,3,6,118,2202,béke utca,26,1,"béke utca 26, Buják",19.54212000572221,47.88664998388228
979,14234,12,Buják,4,3,6,118,2202,bem józsef utca,5,2,"bem józsef utca 5, Buják",19.54894002505995,47.883969996070476
980,14234,12,Buják,4,3,6,118,2202,deréksor út,7,1,"deréksor út 7, Buják",19.54347996951242,47.88478999765812
981,14234,12,Buják,4,3,6,118,2202,dózsa györgy utca,10/A,0,"dózsa györgy utca 10/A, Buják",19.542020009617318,47.87750000500935
982,14234,12,Buják,4,3,6,118,2202,fő út,16,0,"fő út 16, Buják",19.544610000000034,47.88430000000005
983,14234,12,Buják,4,3,6,118,2202,fő út,24,0,"fő út 24, Buják",19.544610000000034,47.88430000000005
985,14234,12,Buják,4,3,6,118,2202,fő út,49,2,"fő út 49, Buják",19.544610000000034,47.88430000000005
986,14234,12,Buják,4,3,6,118,2202,hényel puszta,1,1,"hényel puszta 1, Buják",19.577270019602622,47.85299999539416
987,11341,13,Cegléd,3,2,3,124,36645,cserő utca,2/B,1,"cserő utca 2/B, Cegléd",19.76060001168429,47.188479987526534
989,11341,13,Cegléd,3,2,3,124,36645,kékkő utca,1,0,"kékkő utca 1, Cegléd",19.815729968163993,47.166410017370424
990,11341,13,Cegléd,3,2,3,124,36645,kinizsi utca,16,0,"kinizsi utca 16, Cegléd",19.807779984459188,47.17045998534675
991,11341,13,Cegléd,3,2,3,124,36645,kossuth ferenc utca,28,1,"kossuth ferenc utca 28, Cegléd",19.799539986904506,47.175889991771385
993,11341,13,Cegléd,3,2,3,124,36645,kossuth lajos utca,60,0,"kossuth lajos utca 60, Cegléd",19.794319989063922,47.156609979996745
994,11341,13,Cegléd,3,2,3,124,36645,kőrisfa utca,32,0,"kőrisfa utca 32, Cegléd",19.774060007079527,47.17462000771175
995,11341,13,Cegléd,3,2,3,124,36645,mikus dűlő,345,0,"mikus dűlő 345, Cegléd",19.781713647916543,47.16689770849952
997,11341,13,Cegléd,3,2,3,124,36645,sarló utca,8,0,"sarló utca 8, Cegléd",19.788040015747782,47.16623999046453
999,11341,13,Cegléd,3,2,3,124,36645,tabán utca,2,1,"tabán utca 2, Cegléd",19.800880001765165,47.18527998644174
1000,27094,18,Celldömölk,3,2,3,176,11113,bajcsy-zsilinszky utca,18,2,"bajcsy-zsilinszky utca 18, Celldömölk",17.142910024683403,47.23687001375336
1001,27094,18,Celldömölk,3,2,3,176,11113,hegyalja utca,35,1,"hegyalja utca 35, Celldömölk",17.14788996481704,47.21809999887742
1002,27094,18,Celldömölk,3,2,3,176,11113,kráter utca,14,1,"kráter utca 14, Celldömölk",17.135179982117933,47.236460012959526
1003,27094,18,Celldömölk,3,2,3,176,11113,május 1. utca,19,2,"május 1. utca 19, Celldömölk",17.14242999308857,47.25163000042161
1004,22938,16,Cibakháza,4,3,6,165,4304,attila utca,43,2,"attila utca 43, Cibakháza",20.195460021586825,46.95878998234812
1005,22938,16,Cibakháza,4,3,6,165,4304,attila utca,49,2,"attila utca 49, Cibakháza",20.19795003356316,46.95799001350906
1006,22938,16,Cibakháza,4,3,6,165,4304,bátorszőlő i. dűlő,28,1,"bátorszőlő i. dűlő 28, Cibakháza",20.242270017155562,46.94580000217343
1008,22938,16,Cibakháza,4,3,6,165,4304,dékány kálmán utca,4,0,"dékány kálmán utca 4, Cibakháza",20.20294000000007,46.95715000000007
1009,22938,16,Cibakháza,4,3,6,165,4304,dugonics utca,12,2,"dugonics utca 12, Cibakháza",20.19900003457394,46.958509984872535
1010,22938,16,Cibakháza,4,3,6,165,4304,hunyadi utca,15,2,"hunyadi utca 15, Cibakháza",20.197409987541562,46.95965998198821
1012,22938,16,Cibakháza,4,3,6,165,4304,öregszőlő i. út,78,1,"öregszőlő i. út 78, Cibakháza",20.2141647392248,46.9510573830138
1013,22938,16,Cibakháza,4,3,6,165,4304,öregszőlő ii. út,79,2,"öregszőlő ii. út 79, Cibakháza",20.206629997215515,46.95663000780931
1015,22938,16,Cibakháza,4,3,6,165,4304,szent istván utca,33/A,2,"szent istván utca 33/A, Cibakháza",20.20294000000007,46.95715000000007
1016,22938,16,Cibakháza,4,3,6,165,4304,szent istván utca,39,1,"szent istván utca 39, Cibakháza",21.729340000000036,47.94939000000005
1017,22938,16,Cibakháza,4,3,6,165,4304,újszőlő,21/A,2,"újszőlő 21/A, Cibakháza",20.2138380397382,46.957838044753686
1018,16416,11,Császár,4,3,7,111,1836,ady endre utca,8,2,"ady endre utca 8, Császár",18.13328997145095,47.50367001514121
1019,16416,11,Császár,4,3,7,111,1836,bajcsy-zsilinszky utca,18,2,"bajcsy-zsilinszky utca 18, Császár",18.143540033206136,47.497309994649754
1020,16416,11,Császár,4,3,7,111,1836,bajcsy-zsilinszky utca,57,0,"bajcsy-zsilinszky utca 57, Császár",18.148560038836933,47.499249986139716
1021,16416,11,Császár,4,3,7,111,1836,dózsa györgy utca,54,1,"dózsa györgy utca 54, Császár",18.144110002622057,47.50024998909805
1022,16416,11,Császár,4,3,7,111,1836,kisfaludy utca,48,0,"kisfaludy utca 48, Császár",18.134420019637048,47.50441001146305
1023,16416,11,Császár,4,3,7,111,1836,kisfaludy utca,72,1,"kisfaludy utca 72, Császár",18.132299984866904,47.506139994368965
1024,16416,11,Császár,4,3,7,111,1836,kossuth lajos utca,62,1,"kossuth lajos utca 62, Császár",18.144909971461118,47.50429999898387
1026,16416,11,Császár,4,3,7,111,1836,kossuth lajos utca,76,0,"kossuth lajos utca 76, Császár",18.144019980981966,47.50380001845946
1029,16416,11,Császár,4,3,7,111,1836,petőfi sándor utca,23,2,"petőfi sándor utca 23, Császár",18.14729998733256,47.50193999032581
1031,16416,11,Császár,4,3,7,111,1836,széchenyi istván utca,29,0,"széchenyi istván utca 29, Császár",18.147277344438912,47.496562214421694
1032,15699,3,Csikéria,4,3,8,34,866,buktisor,54,1,"buktisor 54, Csikéria",19.462190009403145,46.128369982414114
1033,15699,3,Csikéria,4,3,8,34,866,buktisor,118,2,"buktisor 118, Csikéria",19.464347885172987,46.131619921180665
1035,15699,3,Csikéria,4,3,8,34,866,kossuth lajos utca,33,0,"kossuth lajos utca 33, Csikéria",19.473680006095066,46.12424998363679
1036,15699,3,Csikéria,4,3,8,34,866,kossuth lajos utca,38,0,"kossuth lajos utca 38, Csikéria",19.47312001114392,46.125199988542676
1038,15699,3,Csikéria,4,3,8,34,866,kossuth lajos utca,153,2,"kossuth lajos utca 153, Csikéria",19.478249987344384,46.11580999387232
1040,15699,3,Csikéria,4,3,8,34,866,petőfi sándor utca,26,2,"petőfi sándor utca 26, Csikéria",19.47789995906777,46.11199999978393
1041,15699,3,Csikéria,4,3,8,34,866,petőfi sándor utca,36,2,"petőfi sándor utca 36, Csikéria",19.47584999700814,46.11149000288523
1042,15699,3,Csikéria,4,3,8,34,866,petőfi sándor utca,41,1,"petőfi sándor utca 41, Csikéria",19.474809970462132,46.11124001262303
1043,15699,3,Csikéria,4,3,8,34,866,petőfi sándor utca,48,0,"petőfi sándor utca 48, Csikéria",19.47336995949661,46.110889984346414
1044,15699,3,Csikéria,4,3,8,34,866,rákóczi ferenc utca,29,1,"rákóczi ferenc utca 29, Csikéria",19.478040020669823,46.11006000829397
1045,15699,3,Csikéria,4,3,8,34,866,széchenyi istván utca,25,1,"széchenyi istván utca 25, Csikéria",19.4728699789722,46.112780019693446
1046,5111,6,Csongrád,3,2,3,70,17242,árvíz utca,14/A,0,"árvíz utca 14/A, Csongrád",20.1389400102845,46.70990998703516
1047,5111,6,Csongrád,3,2,3,70,17242,hosszú utca,42,1,"hosszú utca 42, Csongrád",20.124170007241958,46.720110008828385
1049,5111,6,Csongrád,3,2,3,70,17242,muskátli utca,5,1,"muskátli utca 5, Csongrád",20.161659997031876,46.707600018339036
1050,5111,6,Csongrád,3,2,3,70,17242,tulipán utca,7,1,"tulipán utca 7, Csongrád",20.16335004016912,46.70755002028659
1051,5111,6,Csongrád,3,2,3,70,17242,zsinor utca,47,1,"zsinor utca 47, Csongrád",20.14476995921916,46.715070012358524
1052,4039,8,Csorna,3,2,3,86,10558,józsef attila utca,68,1,"józsef attila utca 68, Csorna",17.2562399773189,47.6068799931588
1054,4039,8,Csorna,3,2,3,86,10558,páva utca,2/B,0,"páva utca 2/B, Csorna",17.23285999951551,47.6091299893377
1057,9247,13,Dabas,3,2,3,125,16386,avar utca,11,1,"avar utca 11, Dabas",19.334790026459274,47.17206998130868
1059,9247,13,Dabas,3,2,3,125,16386,madách imre utca,16,2,"madách imre utca 16, Dabas",19.282270026990346,47.205249996485776
1062,15130,9,Debrecen,2,2,2,95,211320,akadémia utca,83,0,"akadémia utca 83, Debrecen",21.602700008825735,47.547779990149564
1063,15130,9,Debrecen,2,2,2,95,211320,batthyány utca,16,1,"batthyány utca 16, Debrecen",21.628750041885638,47.52788998537133
1064,15130,9,Debrecen,2,2,2,95,211320,bayk andrás kert,048765/0003,1,"bayk andrás kert 048765/0003, Debrecen",21.6886300228949,47.50730000785893
1065,15130,9,Debrecen,2,2,2,95,211320,bayk andrás kert,49984,1,"bayk andrás kert 49984, Debrecen",21.68872133698641,47.520493425424924
1066,15130,9,Debrecen,2,2,2,95,211320,békessy béla utca,8,1,"békessy béla utca 8, Debrecen",21.60969001315985,47.55342997962302
1067,15130,9,Debrecen,2,2,2,95,211320,berta utca,9,0,"berta utca 9, Debrecen",21.64688998909989,47.51496001962337
1068,15130,9,Debrecen,2,2,2,95,211320,berzsenyi út,95,0,"berzsenyi út 95, Debrecen",21.676039985230204,47.54160998740309
1069,15130,9,Debrecen,2,2,2,95,211320,bethlen utca,12.okt,0,"bethlen utca 12.okt, Debrecen",21.62040996440706,47.532380003264365
1071,15130,9,Debrecen,2,2,2,95,211320,boróka utca,9,0,"boróka utca 9, Debrecen",21.66201999488382,47.49533999594644
1073,15130,9,Debrecen,2,2,2,95,211320,cimbalom utca,30,1,"cimbalom utca 30, Debrecen",21.576110013563238,47.53269998241808
1074,15130,9,Debrecen,2,2,2,95,211320,cinege utca,5,1,"cinege utca 5, Debrecen",21.669830000805575,47.48900000820356
1076,15130,9,Debrecen,2,2,2,95,211320,derék utca,78,0,"derék utca 78, Debrecen",21.59972996525454,47.52123001847474
1077,15130,9,Debrecen,2,2,2,95,211320,derék utca,113,1,"derék utca 113, Debrecen",21.59808996207923,47.52056001104441
1078,15130,9,Debrecen,2,2,2,95,211320,derék utca,205,1,"derék utca 205, Debrecen",21.59814000204119,47.516670011690195
1079,15130,9,Debrecen,2,2,2,95,211320,ecsedi istván utca,28,0,"ecsedi istván utca 28, Debrecen",21.669390034707902,47.5342399894885
1080,15130,9,Debrecen,2,2,2,95,211320,egressy béni tér,2,1,"egressy béni tér 2, Debrecen",21.595870015023223,47.52300999943307
1082,15130,9,Debrecen,2,2,2,95,211320,faraktár utca,111,1,"faraktár utca 111, Debrecen",21.656869985934748,47.52888998832967
1083,15130,9,Debrecen,2,2,2,95,211320,félegyházi tamás utca,15/B,2,"félegyházi tamás utca 15/B, Debrecen",21.649579993285982,47.53134999309265
1086,15130,9,Debrecen,2,2,2,95,211320,füredi út,67/A,1,"füredi út 67/A, Debrecen",21.612189999600957,47.542149991515174
1087,15130,9,Debrecen,2,2,2,95,211320,gohér utca,29,1,"gohér utca 29, Debrecen",21.599940015748103,47.533200004852006
1089,15130,9,Debrecen,2,2,2,95,211320,gyolcsos utca,29,1,"gyolcsos utca 29, Debrecen",21.612914892101184,47.526047313167616
1090,15130,9,Debrecen,2,2,2,95,211320,hadházi út,78,1,"hadházi út 78, Debrecen",21.637520027178113,47.54700998661434
1091,15130,9,Debrecen,2,2,2,95,211320,haláp tanya,52,1,"haláp tanya 52, Debrecen",21.81973323821092,47.52008900151089
1092,15130,9,Debrecen,2,2,2,95,211320,hatház utca,29,1,"hatház utca 29, Debrecen",21.607810036096623,47.609090007659546
1093,15130,9,Debrecen,2,2,2,95,211320,hatvan utca,37,0,"hatvan utca 37, Debrecen",21.616829969741786,47.53018997960268
1094,15130,9,Debrecen,2,2,2,95,211320,hunyadi jános utca,12,0,"hunyadi jános utca 12, Debrecen",21.62462002673402,47.53472999554813
1095,15130,9,Debrecen,2,2,2,95,211320,istván út,21,1,"istván út 21, Debrecen",21.60608001128122,47.526899998787286
1096,15130,9,Debrecen,2,2,2,95,211320,istván út,29/A,0,"istván út 29/A, Debrecen",21.604969995843703,47.52563001472765
1097,15130,9,Debrecen,2,2,2,95,211320,istván út,77,1,"istván út 77, Debrecen",21.605950007962974,47.52161001205519
1098,15130,9,Debrecen,2,2,2,95,211320,istván út,117,1,"istván út 117, Debrecen",21.605139980840107,47.51885001897759
1099,15130,9,Debrecen,2,2,2,95,211320,kardos albert utca,17/A,1,"kardos albert utca 17/A, Debrecen",21.63181002327792,47.54649998971564
1100,15130,9,Debrecen,2,2,2,95,211320,károli gáspár utca,264,1,"károli gáspár utca 264, Debrecen",21.596190036086455,47.55097999123436
1101,15130,9,Debrecen,2,2,2,95,211320,kertész utca,28,1,"kertész utca 28, Debrecen",21.671170015666235,47.53681998119541
1102,15130,9,Debrecen,2,2,2,95,211320,kishegyesi út,88,1,"kishegyesi út 88, Debrecen",21.595960036663314,47.5271299982104
1103,15130,9,Debrecen,2,2,2,95,211320,klaipeda utca,2,0,"klaipeda utca 2, Debrecen",21.631680019959646,47.52960001934767
1104,15130,9,Debrecen,2,2,2,95,211320,kőműves utca,32,0,"kőműves utca 32, Debrecen",21.663160017534693,47.54122999382264
1105,15130,9,Debrecen,2,2,2,95,211320,kőrösi csoma sándor utca,46/D,0,"kőrösi csoma sándor utca 46/D, Debrecen",21.666619983346493,47.55906999463173
1106,15130,9,Debrecen,2,2,2,95,211320,kuruc utca,105/2,1,"kuruc utca 105/2, Debrecen",21.659499975694104,47.538990014018026
1109,15130,9,Debrecen,2,2,2,95,211320,mezőgazdász utca,34,0,"mezőgazdász utca 34, Debrecen",21.64534000756467,47.596860014645785
1110,15130,9,Debrecen,2,2,2,95,211320,mikepércsi út,59,1,"mikepércsi út 59, Debrecen",21.63034997956379,47.50543000526048
1111,15130,9,Debrecen,2,2,2,95,211320,miklós utca,6,0,"miklós utca 6, Debrecen",21.625269959506227,47.52581999056312
1113,15130,9,Debrecen,2,2,2,95,211320,mikszáth kálmán utca,61,1,"mikszáth kálmán utca 61, Debrecen",21.61492995992998,47.55118999981843
1114,15130,9,Debrecen,2,2,2,95,211320,monti ezredes utca,5/B,1,"monti ezredes utca 5/B, Debrecen",21.631819997742696,47.5312999950402
1116,15130,9,Debrecen,2,2,2,95,211320,nyár utca,8,1,"nyár utca 8, Debrecen",21.619349988931475,47.540090013081254
1117,15130,9,Debrecen,2,2,2,95,211320,nyereg utca,17,1,"nyereg utca 17, Debrecen",21.66051996949153,47.55325002016184
1119,15130,9,Debrecen,2,2,2,95,211320,piac utca,30,0,"piac utca 30, Debrecen",21.62611996830725,47.527999997850515
1121,15130,9,Debrecen,2,2,2,95,211320,présház utca,12,0,"présház utca 12, Debrecen",21.65798997583707,47.49852998065694
1123,15130,9,Debrecen,2,2,2,95,211320,szabó kálmán utca,29,1,"szabó kálmán utca 29, Debrecen",21.637320034968354,47.51767001464856
1124,15130,9,Debrecen,2,2,2,95,211320,szabolcs utca,45,1,"szabolcs utca 45, Debrecen",21.595970011128088,47.53901000485709
1125,15130,9,Debrecen,2,2,2,95,211320,szeged utca,23,1,"szeged utca 23, Debrecen",21.664389978006653,47.493630003879616
1126,15130,9,Debrecen,2,2,2,95,211320,szélső utca,22,2,"szélső utca 22, Debrecen",21.676150039618904,47.52954000492093
1128,15130,9,Debrecen,2,2,2,95,211320,tinódi utca,29,1,"tinódi utca 29, Debrecen",21.63815001102077,47.51700000721823
1129,15130,9,Debrecen,2,2,2,95,211320,tölgyfa utca,4,1,"tölgyfa utca 4, Debrecen",21.64836998174357,47.545779984232865
1131,15130,9,Debrecen,2,2,2,95,211320,vashámor utca,8/C,0,"vashámor utca 8/C, Debrecen",21.572330026688206,47.60082000289151
1132,15130,9,Debrecen,2,2,2,95,211320,vezér utca,4,1,"vezér utca 4, Debrecen",21.601429982856587,47.55550999080552
1134,15130,9,Debrecen,2,2,2,95,211320,zöld utca,8,1,"zöld utca 8, Debrecen",21.645059968179595,47.54866000616394
1136,24077,6,Deszk,4,3,6,75,3560,bajcsy-zsilinszky utca,20,2,"bajcsy-zsilinszky utca 20, Deszk",20.246630031730348,46.21091999402779
1137,24077,6,Deszk,4,3,6,75,3560,béke utca,3,1,"béke utca 3, Deszk",20.251190038514864,46.22174999966367
1138,24077,6,Deszk,4,3,6,75,3560,juhász gyula utca,5,1,"juhász gyula utca 5, Deszk",20.224800035462152,46.22414998999989
1139,24077,6,Deszk,4,3,6,75,3560,kertész köz,13,1,"kertész köz 13, Deszk",20.230360003295516,46.223199985094
1140,24077,6,Deszk,4,3,6,75,3560,kossuth köz,1/A,1,"kossuth köz 1/A, Deszk",20.23003000776751,46.21951001985906
1141,24077,6,Deszk,4,3,6,75,3560,kossuth köz,5,1,"kossuth köz 5, Deszk",20.232060020897563,46.22046999922975
1142,24077,6,Deszk,4,3,6,75,3560,magyar utca,27,1,"magyar utca 27, Deszk",20.237640000000056,46.21820000000008
1143,24077,6,Deszk,4,3,6,75,3560,május 1. utca,2/A,1,"május 1. utca 2/A, Deszk",20.238279979786967,46.223489998943876
1144,24077,6,Deszk,4,3,6,75,3560,május 1. utca,18,2,"május 1. utca 18, Deszk",20.2393100318682,46.221700001611225
1145,24077,6,Deszk,4,3,6,75,3560,május 1. utca,48,2,"május 1. utca 48, Deszk",20.243669962623926,46.21526999222826
1147,24077,6,Deszk,4,3,6,75,3560,május 1. utca,79,1,"május 1. utca 79, Deszk",20.247009983401284,46.21175001198972
1148,24077,6,Deszk,4,3,6,75,3560,móra ferenc utca,17,1,"móra ferenc utca 17, Deszk",20.246849972869654,46.215469984438016
1149,7685,17,Dombóvár,3,2,3,171,19010,ady endre utca,17,1,"ady endre utca 17, Dombóvár",18.12832998024689,46.37773000932194
1150,7685,17,Dombóvár,3,2,3,171,19010,árnyas utca,37,1,"árnyas utca 37, Dombóvár",18.126789973176443,46.378509987321934
1151,7685,17,Dombóvár,3,2,3,171,19010,batsányi utca,12,2,"batsányi utca 12, Dombóvár",18.132759983713157,46.36565001046549
1152,7685,17,Dombóvár,3,2,3,171,19010,gyöngyvirág körút,66,0,"gyöngyvirág körút 66, Dombóvár",18.119199992213026,46.381410000092075
1153,7685,17,Dombóvár,3,2,3,171,19010,tátika utca,8,1,"tátika utca 8, Dombóvár",18.116669998558564,46.382219985305426
1154,7685,17,Dombóvár,3,2,3,171,19010,tinódi utca,5,1,"tinódi utca 5, Dombóvár",18.130670000000066,46.37678000000005
1156,10490,11,Dorog,3,2,3,110,12199,hám kálmán lakótelep,21,0,"hám kálmán lakótelep 21, Dorog",18.727690036747447,47.72979000011915
1157,10490,11,Dorog,3,2,3,110,12199,schmidt sándor lakótelep,34,2,"schmidt sándor lakótelep 34, Dorog",18.742589959289234,47.721810009200965
1158,10490,11,Dorog,3,2,3,110,12199,schmidt sándor lakótelep,42,2,"schmidt sándor lakótelep 42, Dorog",18.74018996895299,47.72361999737268
1159,10490,11,Dorog,3,2,3,110,12199,tölgyfa utca,14,0,"tölgyfa utca 14, Dorog",18.72681002073307,47.73358000336847
1161,9584,13,Dunaharaszti,3,2,3,136,20473,domb utca,80,2,"domb utca 80, Dunaharaszti",19.087990000419325,47.34181001658635
1162,9584,13,Dunaharaszti,3,2,3,136,20473,király utca,94,2,"király utca 94, Dunaharaszti",19.085650024509818,47.33955000403316
1163,9584,13,Dunaharaszti,3,2,3,136,20473,kisfaludy károly utca,41,2,"kisfaludy károly utca 41, Dunaharaszti",19.10436002495902,47.34455001882489
1164,9584,13,Dunaharaszti,3,2,3,136,20473,petőfi sándor utca,78/A,2,"petőfi sándor utca 78/A, Dunaharaszti",19.09445999148045,47.36357999842781
1166,18616,13,Dunakeszi,3,2,3,126,40545,barackos utca,4,0,"barackos utca 4, Dunakeszi",19.163719992695235,47.63513999880996
1167,18616,13,Dunakeszi,3,2,3,126,40545,barátság útja,6/B,0,"barátság útja 6/B, Dunakeszi",19.125640000740816,47.638799998741035
1168,18616,13,Dunakeszi,3,2,3,126,40545,barátság útja,41,0,"barátság útja 41, Dunakeszi",19.12649000954184,47.64329001663407
1169,18616,13,Dunakeszi,3,2,3,126,40545,bem utca,22,0,"bem utca 22, Dunakeszi",19.13427000825027,47.6280999964234
1170,18616,13,Dunakeszi,3,2,3,126,40545,dobó utca,2,1,"dobó utca 2, Dunakeszi",19.13693000522298,47.63523002045008
1171,18616,13,Dunakeszi,3,2,3,126,40545,dr. babicz béla utca,08.jún,1,"dr. babicz béla utca 08.jún, Dunakeszi",19.155119992399165,47.61792998184353
1172,18616,13,Dunakeszi,3,2,3,126,40545,erkel ferenc utca,10/A,1,"erkel ferenc utca 10/A, Dunakeszi",19.152799965419234,47.628490006378144
1173,18616,13,Dunakeszi,3,2,3,126,40545,gizella utca,73,0,"gizella utca 73, Dunakeszi",19.140310007678494,47.60815999359272
1174,18616,13,Dunakeszi,3,2,3,126,40545,kadosa pál utca,2,1,"kadosa pál utca 2, Dunakeszi",19.16423003150348,47.6301800076059
1175,18616,13,Dunakeszi,3,2,3,126,40545,kálmán utca,72/B,1,"kálmán utca 72/B, Dunakeszi",19.140809988202903,47.64372000826697
1176,18616,13,Dunakeszi,3,2,3,126,40545,kisdobos utca,8,0,"kisdobos utca 8, Dunakeszi",19.125159969145983,47.6475800004078
1177,18616,13,Dunakeszi,3,2,3,126,40545,móra ferenc utca,1,0,"móra ferenc utca 1, Dunakeszi",19.14182998200033,47.64772999456511
1178,18616,13,Dunakeszi,3,2,3,126,40545,pozsonyi utca,11,0,"pozsonyi utca 11, Dunakeszi",19.121639988907447,47.653019981297206
1180,3115,7,Dunaújváros,2,2,3,78,48484,apáczai csere jános út,4,2,"apáczai csere jános út 4, Dunaújváros",18.937169974174907,46.9705100203727
1181,3115,7,Dunaújváros,2,2,3,78,48484,bercsényi miklós utca,1,0,"bercsényi miklós utca 1, Dunaújváros",18.931449995809913,46.96692998379791
1182,3115,7,Dunaújváros,2,2,3,78,48484,bocskai istván utca,5/A,2,"bocskai istván utca 5/A, Dunaújváros",18.927459958441318,46.96556000363341
1184,3115,7,Dunaújváros,2,2,3,78,48484,dunasor,9,2,"dunasor 9, Dunaújváros",18.946519987167108,46.96086999353062
1185,3115,7,Dunaújváros,2,2,3,78,48484,hunyadi jános utca,15,2,"hunyadi jános utca 15, Dunaújváros",18.91189996102449,46.974309998086795
1186,3115,7,Dunaújváros,2,2,3,78,48484,kallós dezső utca,22,2,"kallós dezső utca 22, Dunaújváros",18.93019002812457,46.95914998508951
1187,3115,7,Dunaújváros,2,2,3,78,48484,kohász utca,8,1,"kohász utca 8, Dunaújváros",18.946419991062214,46.95999001942573
1188,3115,7,Dunaújváros,2,2,3,78,48484,kondor béla utca,2,1,"kondor béla utca 2, Dunaújváros",18.93696998196512,46.9659200063748
1189,3115,7,Dunaújváros,2,2,3,78,48484,korányi sándor utca,9,0,"korányi sándor utca 9, Dunaújváros",18.943069995820082,46.965709997790725
1190,3115,7,Dunaújváros,2,2,3,78,48484,lajos király körút,27,0,"lajos király körút 27, Dunaújváros",18.91933998974008,46.958739984295676
1191,3115,7,Dunaújváros,2,2,3,78,48484,lobogó út,1,1,"lobogó út 1, Dunaújváros",18.917729993778153,46.96674000796244
1193,3115,7,Dunaújváros,2,2,3,78,48484,szabadság út,46,2,"szabadság út 46, Dunaújváros",18.918410017582772,46.96748000428428
1194,3115,7,Dunaújváros,2,2,3,78,48484,szórád márton út,46,1,"szórád márton út 46, Dunaújváros",18.932910039524046,46.96700001459894
1195,3115,7,Dunaújváros,2,2,3,78,48484,tavasz utca,2,2,"tavasz utca 2, Dunaújváros",18.92252997445061,46.96493999425553
1196,3115,7,Dunaújváros,2,2,3,78,48484,tavasz utca,14,2,"tavasz utca 14, Dunaújváros",18.922329982240825,46.96572998862982
1197,20534,13,Dunavarsány,3,2,3,136,7363,arany jános utca,96,1,"arany jános utca 96, Dunavarsány",19.076590025367494,47.27265001147643
1198,20534,13,Dunavarsány,3,2,3,136,7363,árnyas utca,63,0,"árnyas utca 63, Dunavarsány",19.03583997815653,47.30948001021031
1201,20534,13,Dunavarsány,3,2,3,136,7363,bartók béla utca,13,0,"bartók béla utca 13, Dunavarsány",19.036009963152935,47.28905000131999
1203,20534,13,Dunavarsány,3,2,3,136,7363,deák ferenc utca,45,1,"deák ferenc utca 45, Dunavarsány",19.07296996520506,47.27211998182912
1204,20534,13,Dunavarsány,3,2,3,136,7363,diófa utca,12,0,"diófa utca 12, Dunavarsány",19.076360025944354,47.27894000116686
1206,20534,13,Dunavarsány,3,2,3,136,7363,fátyolvirág utca,6,0,"fátyolvirág utca 6, Dunavarsány",19.038620003982743,47.30021000248391
1210,20534,13,Dunavarsány,3,2,3,136,7363,mártonyi károlyné utca,04.febr,0,"mártonyi károlyné utca 04.febr, Dunavarsány",19.064310034301286,47.29008001149171
1211,20491,10,Eger,2,2,2,104,56569,babocsay sándor utca,32,0,"babocsay sándor utca 32, Eger",20.364730041643952,47.89340998879328
1212,20491,10,Eger,2,2,2,104,56569,barkóczy utca,8,0,"barkóczy utca 8, Eger",20.370490001687074,47.90216999962095
